nime2018_paper0001,https://github.com/Oeyvind/featexmod,"https://github.com/Oeyvind/featexmodveloped for this project. The scope of this paper preventsa thorough treatment of the details of f","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,https://www.researchcatalogue.net/view/48123/,"https://www.researchcatalogue.net/view/48123/481244https://wp.me/p7UOyo-5F5https://github.com/Oeyvind/featexmodwould fit well with their play","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,https://wp.me/p7UOyo-5F,"https://wp.me/p7UOyo-5F5https://github.com/Oeyvind/featexmodwould fit well with their playing style, and then mappedcont","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,https://github.com/Oeyvind/featexmod,"https://github.com/Oeyvind/featexmodwould fit well with their playing style, and then mappedcontrol data to chosen effect parameters. ","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,http://wp.me/p7UOyo-hD/#Trondheim,"http://wp.me/p7UOyo-hD/#Trondheim3should explore cross adaptive techniques in the context ofa fixed ensemble.This made it possibl","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,http://wp.me/p7UOyo-cf,"http://wp.me/p7UOyo-cfthe performers to decode and understand how the systemresponded to different musical input.3.2.4","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,https://tinyurl.com/y8wr3ukv,"https://tinyurl.com/y8wr3ukv9http://wp.me/p7UOyo-hD/#oslo10Kyle Motl: double bass; Jordan Sand: double bass and vo-cal; Kjell","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,http://wp.me/p7UOyo-hD/#oslo,"http://wp.me/p7UOyo-hD/#oslo10Kyle Motl: double bass; Jordan Sand: double bass and vo-cal; Kjell Nordeson: drums; Miller Pucke","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0001,http://wp.me/p7UOyo-fw/#miller-steven/,"http://wp.me/p7UOyo-fw/#miller-steven/5analysis methods to the perceptual expressive dimensions ofeach signal. The Oslo group didn’t ha","Working methods and instrument design for cross-adaptive sessions"
nime2018_paper0002,http://radiusensemble.org,"http://radiusensemble.org • Sound Source: does the sonic output come from the mobile devices themselves, from speakers on ","*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
nime2018_paper0002,https://musiclab.chromeexperiments.com/kandinsky,"https://musiclab.chromeexperiments.com/kandinsky additional advantages. First, it increases transparency. Just as mobile players benefit from the ","*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
nime2018_paper0002,http://musictech.mit.edu/twelve,"http://musictech.mit.edu/twelve participants. As participants begin to play, their LED necklaces illuminate for the duration of t","*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
nime2018_paper0002,http://repositum.tuwien.ac.at/obvutwhs/download/,"http://repositum.tuwien.ac.at/obvutwhs/download/ pdf/1375209 [7] S. Jordà. Interactive music systems for everyone: exploring visual feedback as a","*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
nime2018_paper0002,http://eunyoungleemusic.com/EYL/Projects.html,"http://eunyoungleemusic.com/EYL/Projects.html [9] S. Lee and J. Freeman. Echobo : A Mobile Music Instrument Designed for Audience to Play. In P","*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
nime2018_paper0002,http://www.flong.com/projects/telesymphony/,"http://www.flong.com/projects/telesymphony/ [11] J. Madhavan, N. Snyder. Constellation: A musical exploration of phone-based audience interac","*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
nime2018_paper0003,https://youtu.be/Kt0N3J9DLKc,"https://youtu.be/Kt0N3J9DLKc> [2] H. Borgdorff. The conflict of the faculties. Perspectives on artistic research and academia.","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,https://archive.li/E7Rf9,"https://archive.li/E7Rf9> [5] Guitar hero. (2005). <https://www.guitarhero.com> [6] M. Hannula, J. Suoranta, T. Vadén, G. ","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,https://www.guitarhero.com,"https://www.guitarhero.com> [6] M. Hannula, J. Suoranta, T. Vadén, G. Griffiths & K. Kölhi. Artistic research: theories, met","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,http://www.visible-music.com/jh_amateur.htm,"http://www.visible-music.com/jh_amateur.htm> [8] C. Hope, L. Vickery, A. Wyatt, & S. James. The Decibel scoreplayer – a digital tool for read","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,https://cycling74.com/products/max/,"https://cycling74.com/products/max/> [14] S. Mckenna. Animated graphic notation – paper at ISEA2011 Istanbul (International Sympos","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,http://www.dabbledoomusic.com,"http://www.dabbledoomusic.com> [16] R. Rolo. Singstar - applying to music education. In t. Bastiaens & m. Ebner (eds.), proceed","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,https://singstar.com,"https://singstar.com> [18] R.R. Smith. An atomic approach to animated music notation. In Proc. Int. Conf. On New Tools","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
nime2018_paper0003,http://animatednotation.com,"http://animatednotation.com> [21] N. True, N. Papworth, R. Zarin, J. Peeters, F. Nilbrink, K. Lindbergh, D. Fällman, A. Lind.","Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
