No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0001.html,2018,"Working methods and instrument design for cross-adaptive sessions"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0002.html,2018,"*12*: Mobile Phone-Based Audience Participation in a Chamber Music Performance"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0003.html,2018,"Animated Notation in Multiple Parts for Crowd of Non-professional Performers"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0004.html,2018,"Interacting with Musebots"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0005.html,2018,"Towards New Modes of Collective Musical Expression through Audio Augmented Reality"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0006.html,2018,"Aphysical Unmodeling Instrument: Sound Installation that Re-Physicalizes a Meta-Wind-Instrument Physical Model, Whirlwind"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0007.html,2018,"An approach to stochastic spatialization --- A case of Hot Pocket"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0008.html,2018,"AM MODE: Using AM and FM Synthesis for Acoustic Drum Set Augmentation"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0009.html,2018,"Kinesynth: Patching, Modulating, and Mixing a Hybrid Kinesthetic Synthesizer."
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0010.html,2018,"CABOTO: A Graphic-Based Interactive System for Composing and Performing Electronic Music"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0011.html,2018,"The XT Synth: A New Controller for String Players"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0012.html,2018,"Risky business: Disfluency as a design strategy"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0013.html,2018,"The Theremin Textural Expander"
No,http://www.cin.ufpe.br/~fcac/NIME2021/DMI_Repl/nime2018_paper0014.html,2018,"Siren: Interface for Pattern Languages"
